Customer_ID,Name,Email,Phone,Date_of_Birth,Account_Balance,Join_Date
1001,Charlie Davis,bob@email.com,,25/05/1969,7451.75,12/10/2022
1002,David Wilson,,,27/10/2000,-467.37,10/02/2012
1003,David Wilson,,987-654-3210,17/10/1991,7497.79,05/09/2017
1004,Bob Smith,charlie@email.com,,08/10/2000,1044.9,21/11/2020
1005,Eve Adams,charlie@email.com,,31/05/1984,5889.29,04/04/2016
1006,Charlie Davis,,,21/12/1972,5944.69,06/12/2020
1007,David Wilson,bob@email.com,987-654-3210,09/11/2003,3519.93,26/12/2021
1008,Alice Johnson,bob@email.com,,17/11/1980,1291.47,04/11/2010
1009,Charlie Davis,bob@email.com,,25/02/1974,5452.16,14/01/2016
1010,David Wilson,bob@email.com,123-456-7890,18/07/1970,1725.47,23/02/2011
1011,Eve Adams,bob@email.com,987-654-3210,07/08/1999,7048.18,22/03/2010
1012,David Wilson,,,12/01/1962,268.53,22/02/2021
1013,Eve Adams,charlie@email.com,123-456-7890,02/07/1964,5952.67,22/09/2013
1014,David Wilson,bob@email.com,987-654-3210,23/03/1978,7286.33,01/10/2023
1015,David Wilson,charlie@email.com,123-456-7890,06/12/1986,7069.98,28/03/2018
1016,Eve Adams,,987-654-3210,28/06/1998,2534.23,29/07/2015
1017,Alice Johnson,,987-654-3210,24/06/1993,7102.77,31/01/2018
1018,Charlie Davis,bob@email.com,987-654-3210,14/01/1984,8560.44,17/01/2019
1019,Eve Adams,alice@email.com,987-654-3210,14/02/1978,7088.9,13/03/2014
1020,Bob Smith,bob@email.com,123-456-7890,17/11/1990,2060.39,27/05/2019
1021,Bob Smith,bob@email.com,987-654-3210,04/10/1989,27.94,08/06/2017
1022,Bob Smith,,,24/08/1993,1213.64,01/03/2022
1023,Alice Johnson,charlie@email.com,,30/12/1997,1050.95,03/10/2016
1024,Eve Adams,,987-654-3210,10/08/1961,288.32,10/04/2020
1025,Alice Johnson,,123-456-7890,27/02/1960,4467.02,27/09/2018
1026,Eve Adams,charlie@email.com,987-654-3210,09/05/1975,5540.13,01/12/2020
1027,Bob Smith,,123-456-7890,08/08/1987,241.07,23/06/2012
1028,Charlie Davis,alice@email.com,123-456-7890,24/01/1969,2665.77,15/10/2017
1029,Bob Smith,charlie@email.com,,30/03/1990,6533.77,13/02/2017
1030,Eve Adams,alice@email.com,,03/11/1973,3032.22,09/03/2015
1031,Alice Johnson,,,18/12/1991,-355.18,01/09/2014
1032,Bob Smith,bob@email.com,987-654-3210,31/07/1984,9681.25,04/07/2016
1033,Charlie Davis,alice@email.com,,29/07/1964,9136.62,17/05/2021
1034,Bob Smith,alice@email.com,123-456-7890,15/08/1973,3582.64,04/02/2021
1035,David Wilson,bob@email.com,123-456-7890,13/04/1982,4298.26,02/03/2022
1036,Alice Johnson,charlie@email.com,,06/04/1966,4557.93,11/03/2012
1037,David Wilson,bob@email.com,123-456-7890,20/02/2003,2520.47,21/05/2018
1038,Eve Adams,,,05/07/1965,873.13,29/08/2018
1039,David Wilson,alice@email.com,,28/11/1969,5061.02,22/09/2022
1040,Charlie Davis,bob@email.com,987-654-3210,18/05/1992,45.75,16/11/2012
1041,Bob Smith,charlie@email.com,,31/05/1969,9916.43,10/09/2016
1042,Alice Johnson,,,17/04/1983,6254.69,11/11/2012
1043,Alice Johnson,,987-654-3210,17/06/1992,8884.5,20/07/2020
1044,Charlie Davis,bob@email.com,123-456-7890,29/03/1997,6757.69,30/01/2011
1045,David Wilson,,123-456-7890,29/01/1974,2284.34,20/03/2016
1046,David Wilson,,987-654-3210,01/10/2000,1395.53,25/04/2013
1047,Charlie Davis,charlie@email.com,,19/01/1992,9090.62,08/08/2013
1048,Bob Smith,,,09/06/1999,7370.06,07/10/2016
1049,Eve Adams,,,25/10/1967,9418.14,14/08/2010
1050,Bob Smith,,,16/02/1974,9733.56,30/11/2023
1051,Bob Smith,alice@email.com,987-654-3210,16/10/1960,5517.07,29/08/2010
1052,Alice Johnson,bob@email.com,,08/04/1983,1489.22,21/11/2018
1053,Charlie Davis,,,11/02/1985,6720.21,24/05/2022
1054,David Wilson,,,12/04/1985,1279,16/09/2021
1055,Bob Smith,bob@email.com,,25/01/1977,9311.89,03/01/2022
1056,Charlie Davis,,123-456-7890,16/01/1987,518.29,10/01/2010
1057,David Wilson,bob@email.com,,13/07/1965,840.06,01/09/2014
1058,Eve Adams,,123-456-7890,31/01/1984,5768.8,27/06/2019
1059,Alice Johnson,,123-456-7890,29/03/2005,3774.49,19/09/2011
1060,Charlie Davis,,987-654-3210,01/01/1984,662.53,28/07/2012
1061,David Wilson,bob@email.com,,19/01/1987,5895.24,06/11/2015
1062,Alice Johnson,bob@email.com,,15/07/2004,5055.23,07/03/2018
1063,Alice Johnson,bob@email.com,123-456-7890,25/01/1991,526.38,15/01/2016
1064,Bob Smith,bob@email.com,987-654-3210,11/03/1961,8038.35,21/02/2017
1065,David Wilson,charlie@email.com,987-654-3210,10/02/1966,-422.87,10/08/2014
1066,Charlie Davis,alice@email.com,987-654-3210,30/12/1961,8955.71,05/01/2021
1067,Bob Smith,,987-654-3210,26/12/2005,9510.35,31/10/2016
1068,David Wilson,,987-654-3210,14/06/1981,4095.45,18/07/2013
1069,Eve Adams,charlie@email.com,123-456-7890,17/11/1985,5321.93,21/12/2015
1070,Eve Adams,bob@email.com,987-654-3210,27/05/1984,200.4,16/07/2010
1071,David Wilson,,,10/03/1982,2347.48,10/07/2010
1072,David Wilson,,123-456-7890,14/08/1995,5033.59,15/07/2012
1073,Eve Adams,bob@email.com,987-654-3210,28/10/1974,9991.48,11/07/2019
1074,Bob Smith,,123-456-7890,18/11/1966,9592.44,16/05/2020
1075,Eve Adams,,123-456-7890,04/11/1964,-287.25,08/04/2013
1076,Charlie Davis,alice@email.com,,15/04/2001,4359.59,16/06/2022
1077,Charlie Davis,,123-456-7890,10/06/1988,226.43,28/03/2018
1078,David Wilson,,123-456-7890,01/05/1976,113.03,21/08/2021
1079,Charlie Davis,alice@email.com,987-654-3210,01/05/1982,7048.43,05/05/2016
1080,Bob Smith,,,16/01/1981,1781.18,15/08/2016
1081,Eve Adams,bob@email.com,987-654-3210,16/08/1999,9920.35,22/04/2011
1082,Eve Adams,charlie@email.com,,10/10/2002,1873.31,17/01/2011
1083,Charlie Davis,bob@email.com,987-654-3210,05/08/1960,1174.92,26/06/2016
1084,Alice Johnson,charlie@email.com,123-456-7890,13/06/1967,4593.31,12/12/2021
1085,Eve Adams,charlie@email.com,987-654-3210,01/09/1989,4631.15,26/03/2022
1086,Alice Johnson,,,21/08/1977,3476.9,23/10/2021
1087,Eve Adams,alice@email.com,987-654-3210,20/02/2004,687.62,12/06/2019
1088,Bob Smith,,987-654-3210,28/06/2001,4593.93,07/07/2021
1089,Alice Johnson,bob@email.com,123-456-7890,06/06/1975,1249.5,10/12/2023
1090,Bob Smith,,123-456-7890,25/11/1990,9241.5,04/07/2013
1091,Alice Johnson,,,28/08/1970,2830.97,03/04/2021
1092,Charlie Davis,bob@email.com,123-456-7890,07/01/2003,2690.48,26/03/2022
1093,Charlie Davis,bob@email.com,123-456-7890,24/12/1964,1107.75,18/06/2015
1094,Charlie Davis,,,14/05/1998,4726.88,15/03/2021
1095,Alice Johnson,alice@email.com,,05/04/1994,8627.77,17/08/2023
1096,David Wilson,,987-654-3210,06/08/2005,3601.83,16/01/2021
1097,Bob Smith,bob@email.com,123-456-7890,15/08/1970,2350.56,26/08/2010
1098,Charlie Davis,,,29/01/1964,7167.54,01/06/2015
1099,Bob Smith,charlie@email.com,123-456-7890,31/03/1999,5308.71,09/04/2018
1100,Alice Johnson,charlie@email.com,123-456-7890,12/03/1999,6541.03,21/09/2016
1101,Eve Adams,charlie@email.com,,20/10/1996,7868.14,09/04/2010
1102,Alice Johnson,,987-654-3210,21/04/1974,3936.62,24/06/2020
1103,Eve Adams,,987-654-3210,11/05/1966,494.64,19/10/2021
1104,Charlie Davis,,,08/04/1995,4916.88,31/10/2013
1105,Eve Adams,,,28/01/1972,7296.93,24/04/2014
1106,Eve Adams,bob@email.com,,19/10/1967,6174.37,26/07/2010
1107,Bob Smith,alice@email.com,987-654-3210,07/07/1970,3526.1,09/10/2019
1108,Eve Adams,alice@email.com,123-456-7890,19/04/1993,6413.21,09/08/2019
1109,Eve Adams,alice@email.com,987-654-3210,18/09/1976,6572.66,01/07/2020
1110,Bob Smith,,987-654-3210,20/05/1999,9459.05,31/01/2021
1111,Eve Adams,charlie@email.com,,23/04/2002,6510.73,16/11/2022
1112,David Wilson,,123-456-7890,30/06/1988,6738.26,03/10/2017
1113,Eve Adams,bob@email.com,987-654-3210,04/10/1965,7883.76,22/03/2012
1114,David Wilson,charlie@email.com,987-654-3210,30/05/1962,4737.63,24/08/2013
1115,David Wilson,charlie@email.com,123-456-7890,05/08/1985,9403.56,06/03/2017
1116,Bob Smith,,123-456-7890,05/12/1981,6658.98,02/06/2012
1117,Alice Johnson,charlie@email.com,123-456-7890,13/09/1962,8570.22,22/05/2014
1118,Alice Johnson,charlie@email.com,123-456-7890,24/12/1979,7777.7,16/02/2016
1119,Alice Johnson,charlie@email.com,987-654-3210,20/03/1960,9211.54,13/01/2020
1120,David Wilson,,,26/02/1989,4517.37,04/04/2021
1121,Bob Smith,alice@email.com,123-456-7890,23/10/1983,5015.98,08/04/2023
1122,David Wilson,alice@email.com,,25/04/1962,9868.41,30/05/2022
1123,David Wilson,alice@email.com,,18/07/1979,4674.12,06/04/2013
1124,Charlie Davis,alice@email.com,123-456-7890,05/03/1984,4531.93,29/12/2012
1125,Alice Johnson,bob@email.com,987-654-3210,20/06/1961,801.21,24/03/2019
1126,Alice Johnson,bob@email.com,123-456-7890,18/12/2002,5566.32,25/08/2016
1127,Bob Smith,bob@email.com,,24/03/1989,3954.83,01/10/2012
1128,Bob Smith,bob@email.com,123-456-7890,17/08/1983,7755.15,25/05/2010
1129,Alice Johnson,bob@email.com,,04/07/1992,6137.42,09/10/2016
1130,Charlie Davis,,,16/03/2000,2380.14,21/07/2018
1131,Bob Smith,bob@email.com,123-456-7890,09/12/1987,608.81,21/12/2012
1132,Eve Adams,alice@email.com,987-654-3210,04/02/1999,2140.06,20/07/2019
1133,Charlie Davis,bob@email.com,987-654-3210,28/12/1992,4572.81,19/04/2012
1134,Alice Johnson,bob@email.com,123-456-7890,22/03/1986,6216.1,14/02/2023
1135,Alice Johnson,bob@email.com,,05/07/1971,1348.83,29/01/2017
1136,David Wilson,charlie@email.com,,07/07/1968,1641.54,03/07/2021
1137,David Wilson,bob@email.com,123-456-7890,28/01/1987,7.29,05/08/2011
1138,Charlie Davis,charlie@email.com,987-654-3210,13/06/1992,1283.3,08/11/2019
1139,Charlie Davis,bob@email.com,987-654-3210,06/05/1965,2996.88,20/05/2018
1140,David Wilson,charlie@email.com,123-456-7890,27/08/1972,6042.02,14/10/2011
1141,Eve Adams,alice@email.com,987-654-3210,17/11/1970,2412.04,10/04/2011
1142,Eve Adams,bob@email.com,123-456-7890,01/03/1980,1355.96,21/12/2022
1143,Bob Smith,,987-654-3210,06/11/1992,8212.25,10/02/2021
1144,Alice Johnson,bob@email.com,987-654-3210,10/02/1982,1117.95,09/12/2016
1145,Bob Smith,charlie@email.com,987-654-3210,30/08/1965,7846.83,01/08/2010
1146,Eve Adams,charlie@email.com,987-654-3210,26/02/1961,9177.97,26/10/2020
1147,Eve Adams,charlie@email.com,,26/08/1982,226.01,21/02/2021
1148,Eve Adams,,,07/10/2005,799.9,01/04/2010
1149,Bob Smith,bob@email.com,123-456-7890,28/04/1988,4829.79,23/01/2012
1150,Charlie Davis,charlie@email.com,,22/03/1995,7506.38,09/04/2023
1151,David Wilson,bob@email.com,,26/09/2002,3030.85,10/12/2018
1152,David Wilson,bob@email.com,123-456-7890,12/04/1971,8128.85,06/10/2022
1153,Charlie Davis,,,30/09/1967,-52.08,29/07/2020
1154,Charlie Davis,charlie@email.com,987-654-3210,01/01/1977,7068.7,27/10/2018
1155,David Wilson,bob@email.com,987-654-3210,16/09/2001,9059,14/12/2021
1156,Alice Johnson,,123-456-7890,09/06/1994,6666.2,07/07/2014
1157,Bob Smith,bob@email.com,987-654-3210,03/08/1961,697.67,23/08/2019
1158,Eve Adams,bob@email.com,987-654-3210,06/02/1998,1442.6,05/02/2016
1159,Alice Johnson,charlie@email.com,,27/04/1991,8777.12,15/05/2017
1160,Eve Adams,charlie@email.com,123-456-7890,12/09/1983,4695.95,09/04/2023
1161,Bob Smith,charlie@email.com,123-456-7890,27/01/1980,7382.92,16/04/2014
1162,Alice Johnson,alice@email.com,987-654-3210,05/12/1989,9336.21,23/06/2010
1163,Eve Adams,alice@email.com,,18/03/1998,8602.29,27/06/2018
1164,Bob Smith,bob@email.com,123-456-7890,23/03/1990,3350.13,25/09/2022
1165,Bob Smith,alice@email.com,,14/04/1980,191.73,27/10/2014
1166,Eve Adams,charlie@email.com,987-654-3210,28/02/1991,3182.16,15/02/2021
1167,David Wilson,,,17/02/1978,9348.52,24/12/2023
1168,David Wilson,charlie@email.com,987-654-3210,27/02/1963,-402.63,05/11/2018
1169,Bob Smith,charlie@email.com,,05/06/1963,8158.71,10/12/2012
1170,Eve Adams,bob@email.com,987-654-3210,26/10/1961,7826.6,26/04/2016
1171,Bob Smith,charlie@email.com,123-456-7890,22/03/1973,7121.13,26/10/2020
1172,David Wilson,,987-654-3210,05/07/1989,-289.03,27/07/2014
1173,David Wilson,,123-456-7890,14/06/1965,2788.9,12/01/2012
1174,Alice Johnson,charlie@email.com,,17/10/1976,9817.98,17/01/2020
1175,Charlie Davis,,987-654-3210,02/07/1982,3811.26,11/01/2019
1176,Eve Adams,bob@email.com,,14/08/1994,5282.79,28/12/2012
1177,Bob Smith,bob@email.com,987-654-3210,20/02/1965,5786.99,24/09/2012
1178,Eve Adams,bob@email.com,123-456-7890,27/06/1985,-301.78,24/11/2013
1179,Charlie Davis,,987-654-3210,25/12/1967,811.26,05/12/2016
1180,David Wilson,alice@email.com,,28/03/1986,3081.5,18/07/2014
1181,Bob Smith,charlie@email.com,,03/03/1981,586.3,30/01/2013
1182,David Wilson,charlie@email.com,987-654-3210,25/04/1988,629.09,03/08/2020
